material,ss_hss,ss_cbd,ss_drill_hss,ss_drill_cbd,kp,brinell,Kd,min_b0_y_intercept,min_b1_slope,max_b0_y_intercept,max_b1_slope,tool_material,notes
Carbon Steel,35,120,25,90,1.88,130,24000,0.01220390625,0.016,0.00127,0.00448,HSS,
Cast Iron K,30,,,,,,,0.022902994791667,0.002197916666667,0.017247311827957,0.00368356374808,HSS,ss guessed ATM
Stainless (303),25,85,20,65,2.07,200,200000,0.021183203125,0.00228125,0.017247311827957,0.00368356374808,HSS,
special alloys S (also Superalloys),20,,,,,,,0.003634408602151,0.002393241167435,0.010763440860215,0.003010752688172,HSS,ss guessed ATM
Hardened Steels H,30,,,,,,,0.024292057291667,0.001822916666667,0.010763440860215,0.003010752688172,HSS,ss guessed ATM
Brass (Soft),125,300,115,350,0.68,120,7000,0.024953515625,0.00240625,-0.008456989247312,0.010229646697389,HSS,
Soft Plastics,225,255,185,205,0.5,0,2000,0,0.0208,0.0762,0.0256,HSS,
Hard Plastics,225,275,115,400,0.75,0,2000,-0.008456989247312,0.010229646697389,0.0635,0.0256,HSS,
Soft very modelling mat etc,225,,,,,,,0.03556,0.04264,0,0.0712,HSS,ss guessed ATM
Softwood,225,255,185,205,0.5,0,3000,0,0.0456,0,0.056,HSS,
Hardwood,145,275,115,400,0.75,0,4000,0,0,0.00127,0.0065,HSS,
Aluminium (6061),175,395,135,310,0.9,95,7000,0.052519791666667,0.003916666666667,0.052519791666667,0.003916666666667,HSS,
reference,1,,,,,,,0,0.01,0,0.01,HSS,SS = 1
reference,1,,,,,,,0,0.05,0,0.05,HSS,SS = 1
