name,dia,flutes,material
1-EndMill-3.175-1,3.175,1,HSS
2-EndMill-3.175-2,3.175,2,HSS
3-EndMill-3-2,3,2,HSS
4-EndMill-4-2,4,2,HSS
5-EndMill-5-2,5,2,HSS
6-EndMill-6-2,6,2,HSS
7-EndMill-5-2,5,2,HSS
8-EndMill-6-4,6,4,HSS
9-EndMill-6-4,6,4,HSS
10-EndMill-4-4,4,4,HSS
11-EndMill-6-3,6,3,HSS
12-EndMill-4-3,4,3,HSS
13-EndMill-6-2,6,2,HSS
14-EndMill-6-2,6,2,Carbide
15-EndMill-6-2,6,2,HSS
16-EndMill-6-2,6,2,HSS
17-EndMill-6-2,6,2,Carbide
18-EndMill-6-2,6,2,HSS
19-EndMill-6-2,6,2,HSS
20-EndMill-6-1,6,1,HSS
21-EndMill-6-1,6,1,HSS
22-EndMill-3-2,3,2,HSS
23-EndMill-4-2,4,2,HSS
24-EndMill-6-2,6,2,HSS
